入力1, 入力2, 入力3
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,-0.00203,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,-0.00203,0
0.00000,-0.00203,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,-0.00203,0
0.00000,-0.00203,0
0.00000,-0.00203,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
0.00000,0.00000,0
